term,cf,df,offset
6729,1,1,4121
68,1,1,4122
680ampad,1,1,4123
680ampadd,1,1,4124
69,6,6,4125
690ampadd,1,1,4131
695,1,1,4132
6th,10,6,4133
6thld,4,4,4139
70,13,12,4143
700,1,1,4155
700amp,1,1,4156
700ampadd,2,2,4157
71,2,2,4159
710,1,1,4161
712,1,1,4162
72,1,1,4163
725ampadd,1,1,4164
727,5,5,4165
73,1,1,4170
730,1,1,4171
7302t,2,2,4172
7302take,4,4,4174
74,8,6,4178
747,3,3,4184
75,9,9,4187
75000,2,2,4196
750000,2,2,4198
7502take,1,1,4200
75th,1,1,4201
76,4,4,4202
77,2,2,4206
775,1,1,4208
775ampadd,1,1,4209
78,4,4,4210
7886,1,1,4214
790500,1,1,4215
7th,3,3,4216
80,27,21,4219
800,4,4,4240
8000,6,4,4244
800000,3,3,4248
800ampadd,1,1,4251
81,4,4,4252
82,10,9,4256
827,1,1,4265
83,9,6,4266
830,3,3,4272
833,1,1,4275
8464,2,2,4276
85,6,4,4278
8500,1,1,4282
8589,1,1,4283
86,10,10,4284
8600,1,1,4294
88,1,1,4295
88000,2,2,4296
8804,1,1,4298
888,48,25,4299
8th,6,4,4324
8thld,1,1,4328
90,21,20,4329
900,2,2,4349
9000,1,1,4351
92,2,2,4352
930,2,2,4354
94,3,3,4356
940,1,1,4359
945,2,2,4360
95,9,7,4362
950ampadd,2,2,4369
959,1,1,4371
96,5,5,4372
97,1,1,4377
98,306,298,4378
980,1,1,4676
985,1,1,4677
9852take,1,1,4678
9867,23,23,4679
99,4,4,4702
996,6,3,4706
9th,1,1,4709
a0247,1,1,4710
a0665,2,2,4711
a0757,1,1,4713
a0808,1,1,4714
a0828,1,1,4715
a0897,1,1,4716
a0927,1,1,4717
a0934,1,1,4718
a0961,1,1,4719
a1536,1,1,4720
a1570,1,1,4721
a1614,1,1,4722
a1927,1,1,4723
a1956,1,1,4724
a2186,2,2,4725
a2193,1,1,4727
a2202,1,1,4728
a2268,1,1,4729
a2424,2,2,4730
a2450,1,1,4732
a2456,1,1,4733
a2500,1,1,4734
a2655,2,2,4735
a2777,1,1,4737
a2868,1,1,4738
a2876,1,1,4739
a3110,1,1,4740
a3130,2,2,4741
a3421,1,1,4743
a3426,1,1,4744
a3456,1,1,4745
a3531,1,1,4746
a3564,1,1,4747
a3584,1,1,4748
a3989,1,1,4749
a4139,1,1,4750
a4327,1,1,4751
a4381,1,1,4752
a4547,1,1,4753
a4586,1,1,4754
a4845,1,1,4755
a4876,1,1,4756
a4986,1,1,4757
a4988,1,1,4758
a4990,1,1,4759
a5042,2,2,4760
a5043,1,1,4762
a5063,1,1,4763
a5071,1,1,4764
a5105,1,1,4765
a5155,1,1,4766
a5203,1,1,4767
a5300,1,1,4768
a5304,1,1,4769
a5445,1,1,4770
a5471,1,1,4771
a5532,1,1,4772
a5540,1,1,4773
a5563,1,1,4774
a6016,1,1,4775
a6136,1,1,4776
a6141,1,1,4777
a6153,1,1,4778
a6157,1,1,4779
a6253,1,1,4780
a6256,1,1,4781
a6400,1,1,4782
a6516,1,1,4783
a7022,1,1,4784
a7031,1,1,4785
a7162,1,1,4786
a7172,1,1,4787
a7257,1,1,4788
a7347,1,1,4789
a7455,1,1,4790
a7493,1,1,4791
a7526,1,1,4792
a7634,1,1,4793
a7725,1,1,4794
a7778,1,1,4795
a7788,1,1,4796
a7808,1,1,4797
a7824,1,1,4798
a7831,1,1,4799
a7852,1,1,4800
a7876,1,1,4801
a7925,1,1,4802
a8015,1,1,4803
a8038,1,1,4804
